"OBÈINE","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021","Število obsojenih polnoletnih in mladoletnih oseb 2006","Število obsojenih polnoletnih in mladoletnih oseb 2007","Število obsojenih polnoletnih in mladoletnih oseb 2008","Število obsojenih polnoletnih in mladoletnih oseb 2009","Število obsojenih polnoletnih in mladoletnih oseb 2010","Število obsojenih polnoletnih in mladoletnih oseb 2011","Število obsojenih polnoletnih in mladoletnih oseb 2012","Število obsojenih polnoletnih in mladoletnih oseb 2013","Število obsojenih polnoletnih in mladoletnih oseb 2014","Število obsojenih polnoletnih in mladoletnih oseb 2015","Število obsojenih polnoletnih in mladoletnih oseb 2016","Število obsojenih polnoletnih in mladoletnih oseb 2017","Število obsojenih polnoletnih in mladoletnih oseb 2018","Število obsojenih polnoletnih in mladoletnih oseb 2019","Število obsojenih polnoletnih in mladoletnih oseb 2020","Število obsojenih polnoletnih in mladoletnih oseb 2021"
"SLOVENIJA",4.3,4.5,4.6,4.1,4.1,3.9,4.3,5.7,4.7,4.0,3.4,3.2,3.1,3.0,2.4,2.8,8630,9144,9228,8453,8423,7965,8825,11758,9729,8241,7006,6521,6324,6256,5007,5974
"Ajdovšèina",2.9,2.3,1.6,1.4,1.8,1.4,2.9,1.8,1.9,1.6,1.8,1.6,2.2,0.9,0.9,1.8,53,42,30,27,33,26,56,34,35,30,34,31,43,17,18,35
"Ankaran/Ancarano",-,-,-,-,-,-,-,-,z,z,1.2,0.9,3.7,1.6,z,1.2,-,-,-,-,-,-,-,-,z,z,4,3,12,5,z,4
"Apaèe",0.0,3.3,5.2,6.4,5.8,5.2,5.0,5.3,5.0,5.6,4.2,2.0,3.4,2.0,2.3,3.4,0,12,19,23,21,19,18,19,18,20,15,7,12,7,8,12
"Beltinci",5.1,3.8,4.2,3.0,3.0,3.5,6.0,5.8,5.9,5.2,3.1,3.1,4.3,3.5,3.4,2.8,44,32,35,25,25,29,50,48,49,43,26,26,35,28,27,23
"Benedikt",3.6,2.2,5.5,6.4,5.4,5.3,4.1,7.7,2.4,2.8,3.2,2.0,3.1,2.7,z,4.1,8,5,13,15,13,13,10,19,6,7,8,5,8,7,z,11
"Bistrica ob Sotli",2.8,z,2.1,2.8,z,z,z,0.0,4.3,4.4,z,z,z,z,4.5,z,4,z,3,4,z,z,z,0,6,6,z,z,z,z,6,z
"Bled",3.5,3.8,3.9,3.2,2.6,2.9,2.4,4.0,2.1,2.7,1.8,1.6,0.8,1.1,1.3,1.5,39,31,32,26,21,24,20,33,17,22,14,13,6,9,10,12
"Bloke",z,1.8,0.0,z,2.5,z,z,z,3.2,z,3.9,z,3.3,z,z,3.1,z,3,0,z,4,z,z,z,5,z,6,z,5,z,z,5
"Bohinj",1.5,2.5,3.5,3.6,1.3,1.3,1.0,1.0,2.1,2.1,0.6,2.7,1.4,1.4,1.7,1.4,8,13,18,19,7,7,5,5,11,11,3,14,7,6,9,8
"Borovnica",3.3,3.3,1.5,2.3,1.3,1.0,1.0,3.2,1.9,4.2,2.6,1.4,z,1.8,z,3.0,13,13,6,9,5,4,4,13,8,18,11,6,z,7,z,14
"Bovec",1.2,1.5,2.5,z,1.8,1.6,2.2,2.5,1.0,2.9,1.3,1.9,2.0,1.3,z,1.2,4,5,8,z,6,5,7,8,3,9,4,6,6,4,z,4
"Braslovèe",1.0,0.6,1.2,1.5,1.3,1.7,1.8,2.4,2.9,2.2,1.8,2.0,1.8,2.5,1.8,2.8,5,3,6,8,7,9,10,13,16,12,10,11,10,14,10,16
"Brda",1.7,3.3,1.2,1.4,1.4,1.6,0.9,2.3,1.6,1.9,1.8,1.9,0.7,0.7,0.7,1.2,10,19,7,8,8,9,5,13,9,11,10,11,4,4,4,7
"Brezovica",0.5,1.5,1.1,1.8,1.3,1.6,2.3,3.1,2.3,2.8,0.9,1.6,2.3,1.0,1.3,0.9,5,15,11,19,14,18,26,36,27,33,11,19,28,13,17,12
"Brežice",3.7,5.8,5.0,3.2,3.0,2.5,4.4,4.2,3.8,3.2,2.4,3.0,2.7,1.9,2.0,2.1,90,141,121,79,74,61,107,103,93,77,58,72,66,43,49,52
"Cankova",z,2.0,2.1,z,4.7,2.6,0.0,2.7,3.8,1.6,5.0,2.2,3.4,5.8,z,2.3,z,4,4,z,9,5,0,5,7,3,9,4,6,10,z,4
"Celje",5.0,5.9,5.0,4.9,6.1,4.3,4.6,7.3,6.9,4.7,4.0,3.9,4.1,3.1,2.8,3.2,244,291,244,239,298,211,223,357,337,231,199,191,202,154,137,156
"Cerklje na Gorenjskem",1.2,1.2,1.2,1.2,1.4,0.8,1.7,1.5,2.0,1.6,1.7,1.2,0.9,1.2,1.4,1.8,8,8,8,8,10,6,12,11,15,12,13,9,7,9,11,14
"Cerknica",2.7,3.1,2.0,2.6,1.3,1.9,2.1,3.7,1.7,2.7,1.2,1.2,1.7,1.6,0.5,1.8,29,34,22,29,15,21,24,42,19,31,14,14,19,18,6,21
"Cerkno",z,0.6,1.0,0.8,1.3,1.3,0.8,0.8,1.7,0.9,1.1,2.2,z,1.3,1.1,1.1,z,3,5,4,6,6,4,4,8,4,5,10,z,6,5,5
"Cerkvenjak",1.9,3.8,2.9,3.4,2.9,6.5,6.4,6.0,3.9,3.9,2.9,4.4,2.0,z,1.8,1.9,4,8,6,7,6,13,13,12,8,8,6,9,4,z,4,4
"Cirkulane",0.0,4.3,4.0,3.9,3.9,3.1,2.2,2.6,3.0,z,2.2,3.0,4.3,z,2.1,z,0,10,9,9,9,7,5,6,7,z,5,7,10,z,5,z
"Èrenšovci",6.2,6.7,8.1,6.2,6.0,7.5,4.1,7.5,7.4,7.3,4.3,3.3,4.5,2.5,5.3,5.8,27,29,34,26,25,31,17,30,30,29,17,13,18,10,21,23
"Èrna na Koroškem",4.2,3.1,2.2,1.6,5.0,3.7,3.4,6.1,3.8,1.5,1.8,1.8,z,1.8,z,1.2,15,11,8,6,18,13,12,21,13,5,6,6,z,6,z,4
"Èrnomelj",6.8,7.9,6.5,7.6,6.4,6.6,6.3,10.8,9.4,7.3,5.3,6.0,5.1,6.1,4.5,3.9,101,117,96,112,94,97,93,159,137,106,77,86,73,77,65,56
"Destrnik",3.8,6.4,4.9,5.6,3.0,3.0,6.2,4.6,3.9,z,3.5,3.5,1.5,1.9,z,2.6,10,17,13,15,8,8,16,12,10,z,9,9,4,5,z,7
"Divaèa",2.6,1.5,4.2,2.3,2.6,0.8,3.3,3.5,5.1,3.6,3.3,1.3,1.7,1.0,z,0.9,10,6,16,9,10,3,13,14,20,14,13,5,7,4,z,4
