"STATISTIÈNA REGIJA","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021","Število obsojenih polnoletnih in mladoletnih oseb 2006","Število obsojenih polnoletnih in mladoletnih oseb 2007","Število obsojenih polnoletnih in mladoletnih oseb 2008","Število obsojenih polnoletnih in mladoletnih oseb 2009","Število obsojenih polnoletnih in mladoletnih oseb 2010","Število obsojenih polnoletnih in mladoletnih oseb 2011","Število obsojenih polnoletnih in mladoletnih oseb 2012","Število obsojenih polnoletnih in mladoletnih oseb 2013","Število obsojenih polnoletnih in mladoletnih oseb 2014","Število obsojenih polnoletnih in mladoletnih oseb 2015","Število obsojenih polnoletnih in mladoletnih oseb 2016","Število obsojenih polnoletnih in mladoletnih oseb 2017","Število obsojenih polnoletnih in mladoletnih oseb 2018","Število obsojenih polnoletnih in mladoletnih oseb 2019","Število obsojenih polnoletnih in mladoletnih oseb 2020","Število obsojenih polnoletnih in mladoletnih oseb 2021"
"SLOVENIJA",4.3,4.5,4.6,4.1,4.1,3.9,4.3,5.7,4.7,4.0,3.4,3.2,3.1,3.0,2.4,2.8,8630,9144,9228,8453,8423,7965,8825,11758,9729,8241,7006,6521,6324,6256,5007,5974
"Pomurska",5.3,6.1,5.9,4.9,4.9,4.6,5.2,5.9,4.8,4.2,4.0,3.5,3.8,3.1,2.5,2.9,642,744,712,592,586,549,617,695,561,492,469,409,437,358,290,336
"Podravska",4.6,4.9,5.6,5.7,5.2,5.0,5.3,6.2,5.1,4.3,3.9,3.7,3.1,3.0,2.4,3.2,1459,1560,1797,1851,1670,1608,1701,1998,1654,1398,1251,1187,1007,959,799,1038
"Koroška",4.5,4.1,4.4,4.1,4.2,4.0,4.7,5.5,3.3,3.4,2.3,2.2,2.2,1.9,1.5,1.8,330,303,319,302,302,287,338,396,239,243,166,156,157,131,105,127
"Savinjska",3.5,3.6,3.5,3.5,3.9,3.0,3.3,4.9,4.3,3.4,3.0,2.7,2.7,2.2,2.1,2.3,908,933,901,901,1005,791,872,1280,1110,858,756,692,690,556,542,587
"Zasavska",3.0,5.2,5.0,4.6,5.2,4.6,4.2,6.6,4.5,2.3,1.9,1.5,1.9,2.0,1.6,2.2,138,234,223,208,233,205,184,286,194,130,112,86,106,114,92,123
"Posavska",5.0,5.9,5.5,3.7,3.8,3.0,4.3,4.2,4.0,3.5,2.6,3.0,2.7,2.5,2.2,3.2,348,411,386,259,268,210,305,296,279,265,195,227,207,191,169,240
"Jugovzhodna Slovenija",4.9,5.3,5.4,5.4,5.1,5.1,5.7,8.3,7.1,6.0,5.4,4.7,4.7,4.3,3.3,4.6,692,755,758,767,725,723,809,1184,1014,854,771,670,677,623,482,677
"Osrednjeslovenska",3.6,3.7,3.6,2.8,2.9,2.9,2.9,5.1,3.8,3.4,2.9,2.5,2.4,2.0,1.7,2.1,1810,1859,1840,1488,1526,1569,1547,2746,2060,1810,1561,1362,1296,1129,941,1156
"Gorenjska",3.5,3.3,3.1,2.3,2.3,2.3,2.9,3.1,3.2,2.5,2.0,1.9,2.0,1.8,1.6,1.9,704,655,627,468,466,470,601,622,661,506,416,393,398,375,326,409
"Primorsko-notranjska",3.5,3.2,3.4,2.9,3.1,3.1,2.8,3.7,3.2,3.1,1.9,1.6,2.1,2.5,1.5,2.4,180,165,176,150,161,162,146,192,167,161,102,85,111,134,79,128
"Goriška",2.4,2.5,2.0,1.8,2.1,2.1,2.3,2.5,2.2,2.0,1.9,1.9,1.7,1.4,1.2,1.5,291,299,241,220,246,256,269,295,261,233,221,218,205,166,147,179
"Obalno-kraška",5.6,4.4,4.3,4.0,3.7,3.3,4.5,5.6,4.8,3.9,3.2,2.7,3.0,2.1,1.8,1.8,592,467,458,436,411,361,498,623,542,436,362,304,344,246,210,219
"Tujina",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536,759,790,811,824,774,938,1132,987,855,624,732,689,1274,825,755
