"KAZNIVO DEJANJE","Vložnik ovadbe - SKUPAJ 2013","Vložnik ovadbe - SKUPAJ 2014","Vložnik ovadbe - SKUPAJ 2015","Vložnik ovadbe - SKUPAJ 2016","Vložnik ovadbe - SKUPAJ 2017","Vložnik ovadbe - SKUPAJ 2018","Vložnik ovadbe - SKUPAJ 2019","Vložnik ovadbe - SKUPAJ 2020","Vložnik ovadbe - SKUPAJ 2021","Drugo 2013","Drugo 2014","Drugo 2015","Drugo 2016","Drugo 2017","Drugo 2018","Drugo 2019","Drugo 2020","Drugo 2021","Oškodovanec 2013","Oškodovanec 2014","Oškodovanec 2015","Oškodovanec 2016","Oškodovanec 2017","Oškodovanec 2018","Oškodovanec 2019","Oškodovanec 2020","Oškodovanec 2021","Policija 2013","Policija 2014","Policija 2015","Policija 2016","Policija 2017","Policija 2018","Policija 2019","Policija 2020","Policija 2021","Inšpekcija 2013","Inšpekcija 2014","Inšpekcija 2015","Inšpekcija 2016","Inšpekcija 2017","Inšpekcija 2018","Inšpekcija 2019","Inšpekcija 2020","Inšpekcija 2021","Agencija za plaèilni promet RS 2013","Agencija za plaèilni promet RS 2014","Agencija za plaèilni promet RS 2015","Agencija za plaèilni promet RS 2016","Agencija za plaèilni promet RS 2017","Agencija za plaèilni promet RS 2018","Agencija za plaèilni promet RS 2019","Agencija za plaèilni promet RS 2020","Agencija za plaèilni promet RS 2021","Sam storilec 2013","Sam storilec 2014","Sam storilec 2015","Sam storilec 2016","Sam storilec 2017","Sam storilec 2018","Sam storilec 2019","Sam storilec 2020","Sam storilec 2021","Neposredna ugotovitev državnega tožilstva 2013","Neposredna ugotovitev državnega tožilstva 2014","Neposredna ugotovitev državnega tožilstva 2015","Neposredna ugotovitev državnega tožilstva 2016","Neposredna ugotovitev državnega tožilstva 2017","Neposredna ugotovitev državnega tožilstva 2018","Neposredna ugotovitev državnega tožilstva 2019","Neposredna ugotovitev državnega tožilstva 2020","Neposredna ugotovitev državnega tožilstva 2021","Drug obèan 2013","Drug obèan 2014","Drug obèan 2015","Drug obèan 2016","Drug obèan 2017","Drug obèan 2018","Drug obèan 2019","Drug obèan 2020","Drug obèan 2021","Državni pravobranilec 2013","Državni pravobranilec 2014","Državni pravobranilec 2015","Državni pravobranilec 2016","Državni pravobranilec 2017","Državni pravobranilec 2018","Državni pravobranilec 2019","Državni pravobranilec 2020","Državni pravobranilec 2021","Sodišèe 2013","Sodišèe 2014","Sodišèe 2015","Sodišèe 2016","Sodišèe 2017","Sodišèe 2018","Sodišèe 2019","Sodišèe 2020","Sodišèe 2021"
"KAZNIVO DEJANJE - SKUPAJ",29180,32772,36833,34274,32993,28615,28198,27593,24694,1319,1475,1909,1912,1405,1379,1420,1560,1641,13791,15302,17174,21562,21059,20195,20261,20315,17571,12294,14622,16381,9161,9081,5737,5296,4502,4364,85,57,98,60,103,89,110,161,112,-,10,9,4,12,18,21,14,43,8,4,7,6,3,7,6,6,11,214,66,68,151,180,196,234,318,337,1442,1208,1144,1369,1094,930,800,690,589,-,-,1,4,-,4,3,1,5,27,28,42,45,56,60,47,26,21
"1. KAZENSKI ZAKONIK (KZ-UPB1)",970,725,629,467,392,243,156,99,66,163,80,70,76,80,57,20,30,17,394,346,268,243,194,119,68,31,31,347,263,262,142,106,61,63,36,13,6,10,7,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-,34,9,8,1,3,2,1,1,4,26,17,12,4,8,4,1,1,1,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO",11,8,3,5,7,1,1,7,-,4,1,-,-,1,-,-,-,-,5,3,2,-,2,1,1,-,-,2,4,1,3,3,-,-,7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.127 umor",3,2,1,-,5,-,-,-,-,3,-,-,-,1,-,-,-,-,0,1,1,-,1,-,-,-,-,0,1,-,-,2,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.127010 umor - od. 1.",2,-,-,-,5,-,-,-,-,2,-,-,-,1,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,2,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.127021 umor - od. 2, tè. 1",1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.127031 umor - od. 3 v zvezi z od. 1",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.129 povzroèitev smrti iz malomarnosti",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.129000 povzroèitev smrti iz malomarnosti",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"1.XV.130 detomor",-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
